age	sex	party	party guess	race	ethnicity	precinct	prop value	voted 2010	voted 2011	voted 2012	voted 2013	voted 2014	voted 2015	voted 2016	voted 2017	voted 2018	voted 2019	voted 2020	voted 2021
27	M	U	U	WHITE	BRITISH	2	840.0				True	True	True	False	False	True	False	False	True
57	M	U	D	WHITE	BRITISH	3	630.0	False	False	False	False	False	False	True	False	False	False	False	False
21	M	D	D	WHITE	JEWISH	3	760.0												
25	M	U	U	WHITE	BRITISH	4	390.0							False	False	False	False	False	False
40	U	U	D	ASIAN	EASTASIAN	2	800.0											True	True
62	U	U	R	ASIAN	EASTASIAN	3	790.0	False	False	False	False	False	False	False	False	True	True	False	False
55	F	U	R	WHITE	JEWISH	4	870.0	False	False	False	True	False	False	False	False	False	True	False	False
52	F	U	D	WHITE	BRITISH	1	410.0	False	False	False	False	False	False	False	False	False	False	False	False
60	F	U	D	WHITE	GERMANIC	1	650.0	False	False	False	True	False	False	True	False	False	False	False	False
58	M	U	D	WHITE	BRITISH	2	760.0		False	False	False	False	False	False	False	False	False	False	False
20	M	D	D	WHITE	BRITISH	1	480.0											False	False
63	M	D	D	WHITE	BRITISH	4	360.0	True	False	False	False	True	False	True	False	True	True	True	True
62	M	U	D	WHITE	BRITISH	5	380.0	False	False	False	False	False	False	False	False	False	False	False	False
74	F	D	D	WHITE	JEWISH	1	660.0	False	False	False	True	False	False	True	True	True	False	True	True
91	M	U	R	WHITE	BRITISH	3	700.0	True	False	False	False	False	False	False	False	False	False	False	False
22	M	R	R	WHITE	BRITISH	3	360.0										False	False	False
34	M	U	U	WHITE	EASTEUROPEAN	2	650.0	False	False	False	False	False	False	False	False	False	False	False	False
45	U	D	D	ASIAN	INDIANSUBCONTINENT	1	670.0								False	False	True	False	False
65	M	U	R	WHITE	BRITISH	2	650.0	False	False	False	True	True	False	True	True	False	True	False	True
26	F	U	U	UNKNOWN	BRITISH	4	370.0												
61	F	U	U	WHITE	JEWISH	4	790.0	False	False	False	False	False	False	False	False	False	False	False	False
37	F	U	D	WHITE	FRENCH	5	390.0	False	False	False	False	False	False	False	False	False	False	False	False
22	M	U	U	WHITE	BRITISH	1	470.0										False	False	False
54	F	D	D	WHITE	BRITISH	1	500.0	False	False	False	False	False	False	False	False	False	False	False	False
61	M	U	U	WHITE	BRITISH	4	810.0								False	False	False	False	False
68	M	U	R	WHITE	JEWISH	4	380.0	True	False	False	False	True	True	True	True	True	True	True	True
42	F	U	D	WHITE	JEWISH	1	420.0	False	False	False	False	False	False	False	False	False	False	False	False
64	M	D	D	WHITE	JEWISH	3	600.0	True	False	False	False	False	False	False	False	False	False	False	False
78	F	D	D	WHITE	BRITISH	2	540.0	False	False	False	True	True	True	False	True	False	False	False	True
46	F	U	D	WHITE	ITALIAN	1	440.0							False	False	False	False	False	False
46	U	D	D	ASIAN	BRITISH	4	790.0						True	False	False	True	False	True	True
19	F	R	R	WHITE	BRITISH	1	450.0											False	False
62	U	U	D	ASIAN	EASTASIAN	4	770.0	False	False	False	False	False	False	True	False	True	False	False	False
35	M	U	D	WHITE	BRITISH	4	410.0						False	False	False	False	False	False	False
20	M	U	D	WHITE	BRITISH	3	630.0										False	False	False
46	F	U	D	WHITE	BRITISH	3	460.0	False	False	False	False	False	False	True	False	True	True	True	True
24	U	U	U	WHITE	JEWISH	1	660.0												False
20	M	U	R	WHITE	BRITISH	3	660.0											False	False
93	M	D	D	WHITE	ITALIAN	2	500.0	True	False	False	False	False	False	True	False	False	False	False	False
77	F	U	D	WHITE	JEWISH	1	170.0	False	False	False	False	False	False	True	False	False	False	False	False
65	M	U	D	WHITE	JEWISH	1	470.0	False	False	False	True	True	False	False	False	False	True	True	True
68	M	U	D	WHITE	JEWISH	2	610.0	False	False	False	False	False	False	False	False	False	False	False	False
78	M	U	U	UNKNOWN	BRITISH	2	490.0	False	False	False	True	False	False	True	False	False	True	False	False
66	M	D	D	WHITE	BRITISH	1	560.0	True	False	False	False	False	False	True	False	False	True	True	True
35	U	D	D	WHITE	BRITISH	5	400.0	False	False	False	False	False	False	False	False	False	False	False	False
52	M	D	D	ASIAN	INDIANSUBCONTINENT	2	580.0								False	False	False	False	False
71	F	D	D	WHITE	BRITISH	5												True	False
70	M	U	D	WHITE	BRITISH	5	520.0	False	False	False	False	False	False	False	False	False	False	False	False
50	M	U	D	WHITE	JEWISH	2	630.0	True	False	False	False	False	False	True	False	True	False	False	True
51	M	U	D	ASIAN	INDIANSUBCONTINENT	4	580.0											True	False
41	M	U	R	ASIAN	INDIANSUBCONTINENT	4	700.0				False	False	False	False	False	False	False	False	False
22	F	U	U	WHITE	JEWISH	2	1160.0										False	False	False
32	M	U	U	WHITE	GERMANIC	5	500.0				False	False	False	False	False	False	False	False	False
30	F	U	U	WHITE	BRITISH	5	500.0								False	False	False	False	False
18	F	U	U	UNKNOWN	BRITISH	4	390.0												
36	F	D	D	UNKNOWN	FRENCH	3	950.0												False
71	M	U	D	ASIAN	INDIANSUBCONTINENT	4	800.0	False	False	False	False	False	False	False	False	False	False	False	False
44	M	U	U	ASIAN	BRITISH	3	630.0								False	False	False	False	False
34	M	U	U	WHITE	MUSLIM	1	390.0												False
79	F	U	D	WHITE	JEWISH	3	580.0	False	False	False	False	False	False	True	False	False	False	True	True
66	F	U	D	WHITE	BRITISH	2	680.0	True	False	False	False	False	False	True	False	False	True	False	True
39	F	U	D	WHITE	EASTEUROPEAN	4	550.0				False	False	False	True	False	False	False	True	True
36	F	U	U	UNKNOWN	BRITISH	3	440.0												False
53	U	D	D	ASIAN	INDIANSUBCONTINENT	1	750.0				False	False	False	True	False	False	False	False	False
54	U	D	D	ASIAN	JAPANESE	1	740.0								False	False	False	False	False
21	F	U	U	WHITE	JEWISH	4	390.0										False	False	False
76	U	U	D	ASIAN	EASTASIAN	1	180.0											False	True
44	F	U	R	WHITE	ITALIAN	3	490.0	False	False	False	False	False	False	False	False	True	False	False	False
64	F	U	U	WHITE	JEWISH	4	820.0		False	False	False	False	False	False	False	False	True	False	False
51	U	U	D	ASIAN	INDIANSUBCONTINENT	4	760.0		False	False	False	False	False	False	False	False	False	False	False
68	F	U	D	WHITE	BRITISH	2	570.0	True	False	False	False	False	False	True	True	True	True	False	True
46	U	D	D	ASIAN	INDIANSUBCONTINENT	5	880.0				False	False	False	False	False	False	False	False	False
73	F	U	D	WHITE	BRITISH	4	540.0	True	False	False	False	False	False	False	False	False	True	True	True
74	M	U	U	WHITE	BRITISH	2	760.0	False	False	False	False	False	False	False	False	False	True	False	False
62	F	U	D	WHITE	BRITISH	4	310.0	False	False	False	False	False	False	False	False	False	False	False	False
70	M	D	D	WHITE	BRITISH	3	480.0	True	False	False	False	True	False	False	False	False	False	False	False
88	F	D	D	WHITE	BRITISH	1	420.0	True	False	False	False	False	False	True	False	True	True	False	True
41	F	D	D	WHITE	BRITISH	5	410.0	False	False	False	False	False	False	False	False	True	False	False	False
35	F	U	R	WHITE	HISPANIC	1		False	False	False	False	False	False	False	False	False	False	False	False
26	M	U	D	WHITE	JEWISH	5	560.0					True	False	False	False	False	False	False	False
64	M	U	D	WHITE	BRITISH	4	390.0	False	False	False	False	True	False	True	False	False	True	False	False
33	M	U	D	WHITE	ITALIAN	3	630.0								False	True	True	False	False
26	M	U	U	WHITE	EASTEUROPEAN	3	580.0								False	False	True	False	False
45	M	U	R	WHITE	BRITISH	1	520.0	False	False	False	False	False	False	False	False	False	True	True	True
69	M	D	D	WHITE	JEWISH	1	470.0	False	False	False	False	False	False	False	False	False	False	True	False
70	F	R	R	WHITE	BRITISH	4	380.0	True	False	False	False	False	False	False	False	False	False	False	False
63	U	D	D	ASIAN	INDIANSUBCONTINENT	4	1040.0	False	False	False	False	False	False	False	False	False	False	False	False
67	M	D	D	HISPANIC	HISPANIC	5	460.0	False	False	False	False	False	False	False	False	False	False	False	False
34	U	D	D	ASIAN	INDIANSUBCONTINENT	4	830.0								False	True	False	False	False
23	F	D	D	WHITE	JEWISH	1	810.0								False	False	False	False	False
25	F	D	D	WHITE	JEWISH	2	750.0						False	False	False	False	False	False	False
22	F	U	U	UNKNOWN	EASTASIAN	5	460.0												False
18	M	D	D	UNKNOWN	JEWISH	2	630.0											False	False
65	M	R	R	WHITE	BRITISH	5	510.0	False	False	False	False	False	False	True	False	True	False	False	False
59	U	D	D	ASIAN	INDIANSUBCONTINENT	3	790.0								False	False	False	False	False
58	U	D	D	ASIAN	INDIANSUBCONTINENT	4	720.0	False	False	False	False	False	False	False	False	False	True	False	True
62	M	D	D	WHITE	AFRICANS	5	890.0											False	False
93	F	D	D	WHITE	NORDIC	5		False	False	False	False	False	False	False	False	False	False	False	False
85	F	D	D	WHITE	BRITISH	2	510.0	False	False	False	False	True	False	False	False	True	False	False	False
42	M	U	U	UNKNOWN	FRENCH	3	670.0												False
61	F	D	D	WHITE	BRITISH	3	570.0	False	False	False	True	False	False	False	False	False	False	False	False
63	M	D	D	WHITE	BRITISH	4	530.0	False	False	False	False	False	False	False	False	False	False	True	False
46	F	U	U	UNKNOWN	HISPANIC	1	360.0												
61	U	U	D	ASIAN	EASTASIAN	1	520.0	False	False	False	False	False	False	False	False	False	True	False	False
37	F	U	R	WHITE	BRITISH	1	510.0				False	False	False	True	False	False	True	True	False
49	U	U	U	ASIAN	INDIANSUBCONTINENT	4	830.0								False	False	False	False	False
48	M	U	U	UNKNOWN	BRITISH	1													
79	U	U	R	ASIAN	EASTASIAN	2	1300.0	False	False	False	False	False	False	False	False	False	False	False	False
56	F	D	D	WHITE	BRITISH	4	500.0	False	False	False	True	True	True	True	False	True	True	False	True
20	F	U	U	ASIAN	EASTASIAN	3	630.0										False	False	False
51	U	D	D	ASIAN	INDIANSUBCONTINENT	4	760.0			False	False	False	False	False	False	False	False	False	False
27	M	U	U	UNKNOWN	BRITISH	4													False
21	F	U	U	WHITE	JEWISH	4	750.0												False
47	M	D	D	WHITE	BRITISH	1	530.0	False	False	False	False	False	False	True	False	False	True	True	True
42	M	D	D	WHITE	BRITISH	3	700.0	False	False	False	False	False	False	False	False	False	False	False	False
44	F	D	D	WHITE	HISPANIC	1	630.0	False	False	False	False	False	False	False	False	True	True	False	True
36	U	U	U	UNKNOWN	BRITISH	4	480.0												
57	M	U	D	WHITE	AFRICANS	5	510.0	False	False	False	True	True	False	True	False	True	True	False	False
78	F	D	D	WHITE	BRITISH	4	440.0	False	False	False	True	True	False	False	False	False	True	False	True
70	F	U	D	WHITE	ITALIAN	3	660.0	False	False	False	False	False	False	False	False	False	False	False	False
55	M	U	D	WHITE	JEWISH	5	540.0				False	False	False	False	False	False	False	False	False
63	M	D	D	WHITE	ITALIAN	2	660.0	False	False	False	True	True	False	True	False	True	True	True	True
24	U	D	D	ASIAN	INDIANSUBCONTINENT	4	720.0							True	False	False	False	False	False
48	F	U	D	ASIAN	INDIANSUBCONTINENT	2	730.0						False	False	False	True	True	False	True
68	F	U	D	WHITE	BRITISH	5	590.0	False	False	False	False	False	False	False	False	False	False	False	False
58	M	R	R	WHITE	EASTEUROPEAN	2	820.0	False	False	False	False	False	False	False	False	False	True	False	False
57	M	D	D	WHITE	JEWISH	3	810.0	False	False	False	False	False	False	False	False	False	False	False	False
42	U	U	D	ASIAN	EASTASIAN	4	530.0											False	False
65	F	U	D	WHITE	JEWISH	2	500.0	False	False	False	False	True	False	False	False	False	False	False	False
60	F	U	D	WHITE	JEWISH	4	510.0	True	False	False	False	False	False	True	False	True	False	False	False
56	F	U	U	UNKNOWN	BRITISH	5													
80	F	U	D	WHITE	BRITISH	3	700.0	False	False	False	False	False	False	False	False	False	False	False	False
43	M	D	D	WHITE	BRITISH	4	330.0									False	False	False	False
55	F	U	D	WHITE	JEWISH	2	610.0	False	False	False	True	False	True	True	True	True	False	False	False
33	M	U	D	WHITE	BRITISH	3	540.0	False	False	False	False	False	False	False	False	False	False	False	False
72	M	U	U	WHITE	JEWISH	4	550.0	False	False	False	False	False	False	False	False	False	False	False	False
39	M	U	D	WHITE	BRITISH	5	420.0				False	False	False	False	False	False	False	False	False
78	M	R	R	WHITE	ITALIAN	3	540.0	False	False	False	False	False	False	False	False	False	True	False	False
38	F	U	D	WHITE	JEWISH	5	470.0				True	False	False	False	False	False	False	False	False
40	M	D	D	UNKNOWN	BRITISH	3	900.0												False
42	F	U	D	WHITE	ITALIAN	5	440.0	False	False	False	False	False	False	False	False	True	True	False	False
51	F	D	D	WHITE	JEWISH	3	410.0	False	False	False	True	True	False	True	False	True	True	False	True
71	M	D	D	WHITE	BRITISH	1		False	False	False	False	False	False	False	False	False	False	False	False
61	M	U	U	WHITE	JEWISH	3	490.0	False	False	False	False	False	False	False	False	False	False	False	False
18	M	U	U	UNKNOWN	HISPANIC	1													
35	M	D	D	WHITE	BRITISH	5	430.0			False	False	False	True	False	False	False	False	False	False
63	F	U	D	WHITE	BRITISH	5	370.0	False	False	False	False	True	False	False	False	False	False	True	False
74	M	U	U	UNKNOWN	BRITISH	5	580.0												
66	M	R	R	WHITE	BRITISH	2	890.0	False	False	False	False	False	False	False	False	False	False	False	False
65	F	D	D	WHITE	BRITISH	3	490.0	False	False	False	False	False	False	False	False	False	False	False	False
50	M	D	D	WHITE	JEWISH	3	680.0	False	False	False	False	False	False	False	False	False	False	False	False
47	F	U	U	WHITE	BRITISH	4	470.0			False	False	False	False	False	False	False	True	False	True
70	U	U	U	ASIAN	EASTASIAN	3	590.0	False	False	False	False	False	False	False	False	False	False	False	True
57	M	R	R	WHITE	MUSLIM	2	1190.0	False	False	False	False	False	False	False	False	True	False	False	False
69	M	U	D	WHITE	BRITISH	1	370.0	False	False	False	False	True	False	False	True	False	True	False	False
22	F	U	U	WHITE	EASTEUROPEAN	4	530.0									True	False	False	False
48	M	U	R	WHITE	FRENCH	2	620.0	False	False	False	False	False	False	True	False	False	True	False	False
61	M	D	D	WHITE	JEWISH	1	470.0	False	False	False	False	False	False	True	False	False	True	True	False
44	F	D	D	WHITE	BRITISH	4	420.0	False	False	False	False	False	False	False	False	False	False	False	True
49	F	U	U	WHITE	JEWISH	5	470.0		False	False	False	False	False	False	False	False	False	False	False
24	M	U	U	WHITE	BRITISH	4	860.0											False	False
70	M	R	R	WHITE	JEWISH	4	730.0	True	False	False	False	False	False	True	False	False	True	True	False
75	M	U	U	ASIAN	MUSLIM	3	940.0	False	False	False	False	False	False	True	False	False	False	False	False
20	M	D	D	WHITE	BRITISH	3	430.0											False	False
39	M	U	D	WHITE	JEWISH	3	630.0	False	False	False	False	False	False	False	False	False	True	False	False
41	F	D	D	WHITE	BRITISH	1					False	False	False	False	False	True	True	False	False
66	M	U	R	WHITE	BRITISH	2	480.0	False	False	False	False	True	False	False	False	False	False	False	False
60	U	U	U	ASIAN	EASTASIAN	2	700.0	False	False	False	False	False	False	False	False	False	False	False	False
45	U	D	D	ASIAN	INDIANSUBCONTINENT	3	780.0											False	False
76	M	U	D	WHITE	ITALIAN	5		True	False	False	False	True	False	True	True	True	False	False	False
19	U	U	U	UNKNOWN	INDIANSUBCONTINENT	5	410.0											False	False
67	M	U	U	UNKNOWN	BRITISH	3	500.0												False
50	M	U	D	WHITE	GERMANIC	2	500.0	False	False	False	False	False	False	False	False	False	False	False	False
61	F	D	D	ASIAN	EASTASIAN	5	550.0								False	False	False	False	False
62	F	U	D	WHITE	BRITISH	5	580.0	False	False	False	False	False	False	False	False	False	False	False	False
53	F	D	D	WHITE	BRITISH	2	1010.0	True	False	False	False	False	False	True	False	False	False	False	False
53	M	U	R	WHITE	EASTEUROPEAN	2	410.0	False	False	False	False	False	False	False	False	False	False	False	False
73	M	U	D	WHITE	BRITISH	1		False	False	False	False	True	False	False	False	False	False	False	False
28	F	U	U	UNKNOWN	EASTEUROPEAN	3	570.0												False
49	M	U	U	WHITE	BRITISH	1		False	True	False	False	False	False	False	False	False	False	False	False
72	F	U	D	WHITE	BRITISH	5	610.0	True	False	False	False	False	False	False	False	False	False	False	False
75	M	U	D	WHITE	JEWISH	1	720.0	False	False	False	True	False	False	False	False	False	True	False	False
54	M	U	D	WHITE	JEWISH	5	530.0	False	False	False	False	True	False	False	False	False	False	False	False
46	F	U	U	WHITE	NORDIC	3	650.0	False	False	False	False	False	False	False	False	False	False	False	True
58	M	D	D	WHITE	BRITISH	3	690.0	False	False	False	False	False	False	False	False	False	False	False	False
67	F	U	R	WHITE	BRITISH	3	660.0	False	False	False	False	False	False	False	False	False	False	False	False
25	M	U	U	WHITE	BRITISH	2	620.0									False	False	False	False
48	M	D	D	WHITE	AFRICANS	3	730.0	False	False	False	False	False	False	False	False	False	False	False	False
70	M	U	D	WHITE	BRITISH	4	690.0	False	False	False	False	False	False	False	False	False	True	False	False
63	M	U	U	WHITE	EASTEUROPEAN	2	490.0	True	False	False	False	False	False	False	False	False	False	False	False
31	F	U	U	WHITE	JEWISH	3	620.0											False	False
28	M	D	D	ASIAN	MUSLIM	4	510.0								False	False	False	False	False
18	M	U	U	UNKNOWN	JEWISH	4	590.0												False
38	M	D	D	BLACK	MUSLIM	3	700.0	False	False	False	False	False	False	False	False	False	False	False	False
21	M	U	U	WHITE	BRITISH	4	730.0											True	False
79	F	D	D	WHITE	BRITISH	3	500.0									False	False	False	False
65	F	U	D	WHITE	FRENCH	5	510.0	False	False	False	False	False	False	True	False	True	False	False	False
48	F	R	R	WHITE	BRITISH	2	1030.0	False	False	False	False	False	False	True	False	True	True	True	True
65	F	D	D	WHITE	BRITISH	1	520.0	True	False	False	False	True	False	True	False	True	False	True	True
44	F	U	D	ASIAN	EASTASIAN	4	700.0									True	True	True	True
58	F	U	D	WHITE	BRITISH	1	210.0										True	False	False
76	M	U	U	WHITE	JEWISH	1	740.0	False	False	False	False	False	False	False	False	False	False	False	False
72	M	D	D	BLACK	BRITISH	4	580.0	True	False	False	False	True	False	True	True	False	False	True	True
41	F	U	D	WHITE	BRITISH	1	450.0	False	False	False	False	False	False	False	False	True	False	False	True
18	M	D	D	UNKNOWN	BRITISH	3	720.0												
32	F	U	U	WHITE	JEWISH	4	510.0	False	False	False	False	False	False	False	False	False	False	False	False
57	M	U	D	HISPANIC	HISPANIC	1								False	False	False	True	True	False
51	M	D	D	WHITE	JEWISH	3	650.0	False	False	False	True	False	False	True	False	False	False	False	False
44	U	D	D	ASIAN	INDIANSUBCONTINENT	2	810.0											False	True
86	F	D	D	WHITE	JEWISH	1	650.0							False	False	False	False	False	False
55	M	D	D	WHITE	JEWISH	3	540.0	True	False	False	False	True	False	True	False	False	False	True	False
22	M	U	U	WHITE	GERMANIC	4	610.0								False	False	False	True	False
88	M	U	R	WHITE	BRITISH	3	510.0	False	False	False	False	True	False	False	False	False	False	False	False
62	F	U	R	WHITE	ITALIAN	3	430.0	False	False	False	False	False	False	False	False	False	False	False	False
46	F	U	R	WHITE	INDIANSUBCONTINENT	3	700.0		False	False	False	False	False	False	False	False	False	False	False
50	U	R	R	ASIAN	EASTASIAN	5	580.0											True	False
18	F	U	U	UNKNOWN	ITALIAN	5												False	False
54	M	U	R	WHITE	BRITISH	1	650.0	True	False	False	False	False	False	True	False	True	True	True	False
65	M	U	D	ASIAN	INDIANSUBCONTINENT	4	2170.0	False	False	False	False	False	False	True	False	False	False	False	False
54	F	U	U	WHITE	EASTEUROPEAN	3	760.0				False	False	False	False	False	False	False	False	False
38	U	U	U	UNKNOWN	INDIANSUBCONTINENT	5	270.0												
65	M	D	D	WHITE	BRITISH	3	540.0	False	False	False	False	True	True	True	False	True	False	True	True
65	M	R	R	WHITE	ITALIAN	4	910.0	True	False	False	True	False	False	False	False	False	False	False	False
73	F	D	D	WHITE	BRITISH	1	500.0	False	False	False	False	False	False	False	False	False	False	False	False
36	M	U	D	WHITE	BRITISH	5	470.0	False	False	False	False	False	False	False	False	False	False	False	False
66	M	U	D	WHITE	BRITISH	3	520.0	True	False	False	False	True	False	True	False	False	True	True	True
45	F	D	D	WHITE	JEWISH	1	650.0	False	False	False	False	True	True	True	False	False	True	True	True
78	F	D	D	WHITE	BRITISH	2	490.0	True	False	False	False	False	False	False	False	False	False	True	False
19	U	U	U	UNKNOWN	BRITISH	1	410.0											False	False
52	F	U	U	WHITE	JEWISH	3	350.0				False	False	False	False	False	False	False	False	False
23	F	U	D	WHITE	BRITISH	2	810.0										True	False	False
24	F	U	U	WHITE	BRITISH	5	480.0												False
28	M	U	D	WHITE	BRITISH	1											False	False	False
20	F	U	U	UNKNOWN	EASTASIAN	5	530.0												True
22	M	U	U	WHITE	BRITISH	4	440.0										False	False	False
80	F	D	D	WHITE	BRITISH	3	480.0	False	False	False	True	False	False	False	False	True	False	False	False
41	M	R	R	WHITE	JEWISH	3	760.0			False	False	False	False	False	False	False	True	False	False
64	F	D	D	WHITE	BRITISH	1	480.0	False	False	False	True	False	True	True	False	True	True	False	True
39	F	D	D	WHITE	BRITISH	3	550.0										False	False	False
68	M	D	D	WHITE	JEWISH	1	190.0	False	False	False	False	False	False	False	False	False	False	False	False
63	M	U	D	ASIAN	INDIANSUBCONTINENT	4	740.0	True	False	False	False	False	False	False	False	False	False	False	True
63	U	U	D	WHITE	JEWISH	1	660.0	False	False	False	False	False	False	True	True	False	True	True	False
46	F	U	D	WHITE	JEWISH	4	580.0							False	False	False	True	False	False
71	M	R	R	WHITE	BRITISH	5	390.0	False	False	False	False	False	True	False	False	False	False	False	True
33	F	D	D	WHITE	NORDIC	1	570.0												True
30	F	D	D	WHITE	BRITISH	4	410.0										False	False	False
53	F	U	D	WHITE	BRITISH	4	810.0	False	False	False	False	False	False	False	False	False	False	False	False
72	F	D	D	WHITE	ITALIAN	5	430.0	False	False	False	False	False	False	False	False	False	False	False	False
59	F	U	D	WHITE	JEWISH	2	870.0	False	False	False	True	False	False	False	False	False	True	False	False
51	F	U	R	WHITE	JEWISH	4	770.0	False	False	False	False	False	False	False	False	False	False	False	False
58	F	R	R	WHITE	BRITISH	3	780.0	True	False	False	False	False	False	False	False	False	False	False	False
21	M	U	D	WHITE	JEWISH	5	470.0										False	False	True
64	F	D	D	UNKNOWN	BRITISH	1													
70	M	U	D	WHITE	JEWISH	5	400.0	False	False	False	False	False	False	False	False	False	False	False	False
73	F	U	D	WHITE	BRITISH	5	580.0	False	False	False	False	True	False	True	False	True	True	False	True
72	M	U	U	WHITE	BRITISH	5	580.0	False	False	False	True	True	False	True	False	False	False	False	False
73	M	U	R	WHITE	BRITISH	5	380.0	False	False	False	False	False	False	False	False	False	False	False	False
72	M	U	U	WHITE	ITALIAN	3	520.0											False	False
43	M	U	U	WHITE	BRITISH	3	500.0											False	False
96	M	D	D	ASIAN	BRITISH	5		False	False	False	True	True	False	False	False	False	False	False	False
68	M	D	D	WHITE	BRITISH	1	500.0	True	False	False	False	False	False	True	False	False	False	False	False
56	F	D	D	WHITE	EASTASIAN	2	920.0			False	True	False	True	False	False	False	True	True	True
25	M	U	D	WHITE	BRITISH	2	510.0						False	False	False	False	False	False	False
51	U	U	D	ASIAN	EASTASIAN	5	920.0	False	False	False	False	False	False	False	False	True	True	False	False
36	M	U	U	UNKNOWN	JEWISH	2	850.0												
75	M	U	R	WHITE	BRITISH	1	480.0	False	False	False	False	True	False	True	False	False	False	False	False
37	M	U	U	WHITE	BRITISH	5	430.0							False	False	False	False	False	False
72	M	R	R	WHITE	BRITISH	4	380.0	True	False	False	False	True	False	False	False	False	False	False	False
47	U	U	U	ASIAN	BRITISH	5	420.0												False
65	M	U	D	WHITE	JEWISH	1	660.0	False	False	False	False	False	False	True	False	False	True	False	False
62	M	D	D	WHITE	BRITISH	3	910.0	False	False	False	False	False	False	True	False	False	False	False	False
62	F	D	D	BLACK	BRITISH	1	890.0	False	False	False	False	False	False	False	False	False	False	False	False
69	M	D	D	WHITE	JEWISH	1	760.0	False	False	False	False	False	False	False	False	False	False	False	False
30	M	U	D	WHITE	BRITISH	4	520.0										False	False	False
67	F	U	U	WHITE	ITALIAN	4	460.0	False	False	False	False	False	False	False	False	False	False	False	False
61	M	U	U	UNKNOWN	BRITISH	5													False
26	U	U	U	UNKNOWN	MUSLIM	4	720.0												False
18	F	U	U	UNKNOWN	ITALIAN	5													
53	F	U	R	WHITE	BRITISH	5	450.0	False	False	False	False	False	False	False	False	False	False	False	False
54	M	U	U	WHITE	BRITISH	2	1290.0					False	False	False	False	False	False	False	False
40	M	U	R	WHITE	BRITISH	3	590.0	False	False	False	False	False	False	False	False	False	False	False	False
55	M	U	U	UNKNOWN	INDIANSUBCONTINENT	2	710.0												
56	M	U	D	WHITE	BRITISH	1	660.0	False	False	False	True	True	False	True	False	True	True	True	True
55	M	U	D	WHITE	BRITISH	2	610.0	False	False	False	False	False	False	False	False	False	False	False	False
43	M	U	D	WHITE	ITALIAN	2	750.0			False	False	False	False	True	False	False	False	True	True
60	F	D	D	WHITE	EASTEUROPEAN	5	460.0	False	False	False	True	False	False	True	False	False	True	False	True
45	F	U	U	UNKNOWN	BRITISH	4													
55	M	U	U	UNKNOWN	BRITISH	3	740.0												
47	M	U	R	WHITE	BRITISH	1	470.0	True	False	False	False	False	False	False	False	False	True	False	False
41	F	D	D	WHITE	BRITISH	4	460.0	False	False	False	False	False	False	False	False	False	False	False	False
85	F	U	D	WHITE	BRITISH	5	410.0	True	False	False	False	False	False	False	False	False	False	False	False
81	F	U	D	WHITE	BRITISH	3	520.0	False	False	False	False	False	False	False	False	False	False	False	False
22	M	U	U	UNKNOWN	ITALIAN	5	850.0												False
67	F	U	D	WHITE	JEWISH	3	700.0	False	False	False	False	True	False	True	True	True	False	False	False
19	M	U	D	ASIAN	EASTASIAN	3	630.0										False	False	False
48	F	U	U	UNKNOWN	JEWISH	3	530.0												
53	U	U	U	ASIAN	INDIANSUBCONTINENT	1	540.0	False	False	False	False	False	False	False	False	False	False	False	False
23	F	D	D	ASIAN	INDIANSUBCONTINENT	3	710.0								False	False	False	False	False
38	M	D	D	UNKNOWN	MUSLIM	4	410.0												
22	F	U	D	WHITE	GERMANIC	4	390.0										False	False	False
60	F	U	D	WHITE	BRITISH	1	420.0	True	False	False	False	True	False	True	False	True	True	False	False
62	F	U	R	WHITE	BRITISH	4	910.0	False	False	False	True	False	False	False	False	False	False	False	False
40	M	U	D	WHITE	BRITISH	2	1000.0	False	False	False	False	False	False	False	False	False	False	False	False
28	M	U	D	WHITE	BRITISH	5	620.0			False	True	False	False	True	True	True	False	True	False
46	F	D	D	WHITE	BRITISH	1	420.0				False	False	False	False	False	False	False	False	False
48	F	U	U	ASIAN	EASTASIAN	2	910.0										True	True	True
34	F	U	U	UNKNOWN	JEWISH	5													
63	M	U	D	WHITE	BRITISH	5	500.0	True	False	False	False	False	False	False	False	False	True	False	False
60	F	D	D	WHITE	FRENCH	4	650.0	False	False	False	False	False	False	True	False	False	False	False	False
56	U	U	D	WHITE	JEWISH	5	470.0	False	False	False	False	False	False	False	False	False	False	False	False
19	M	U	U	WHITE	BRITISH	1	740.0												True
58	F	U	R	WHITE	JEWISH	4	610.0	False	False	False	True	False	False	True	False	True	True	True	True
42	F	D	D	WHITE	JEWISH	3	700.0	False	False	False	False	False	False	False	False	False	False	False	False
49	M	D	D	ASIAN	BRITISH	2	550.0	True	False	False	False	False	False	True	False	False	False	False	False
35	F	U	R	WHITE	EASTASIAN	1	790.0				False	False	False	False	False	False	False	False	False
48	M	D	D	WHITE	BRITISH	2	1050.0	False	False	False	True	False	False	True	False	False	False	False	True
50	U	U	U	ASIAN	EASTASIAN	2	450.0	False	False	False	False	False	False	False	False	False	False	False	False
42	M	U	D	WHITE	JEWISH	4	730.0	False	False	False	False	False	False	False	False	False	True	True	True
72	M	U	D	WHITE	ITALIAN	1	500.0	False	False	False	False	False	False	False	True	False	True	False	False
21	U	U	D	WHITE	NORDIC	1	680.0										False	False	False
